Time (seconds),strength
0.77,1028
0.87,1033
0.97,1028
1.08,1020
1.18,1036
1.28,1040
1.39,1032
1.49,940
1.60,968
1.70,838
1.80,865
1.91,1084
2.01,1036
2.12,1128
2.22,1040
2.32,992
2.43,665
2.53,1029
2.64,1035
2.74,1033
2.84,1044
2.95,1074
3.05,1021
3.16,983
3.28,1067
3.38,1029
3.49,1066
3.59,969
3.70,1133
3.80,1244
3.90,1038
4.01,1095
4.20,1053
4.30,993
4.40,1232
4.51,804
4.61,1057
4.80,1187
4.90,958
5.01,1005
5.11,1166
5.22,1077
5.40,1029
5.51,1058
5.61,952
5.72,1003
5.82,1125
6.01,894
6.11,1061
6.22,985
6.32,854
6.44,1063
6.55,848
6.65,1034
6.76,1021
6.94,1021
7.05,1002
7.15,1088
7.26,1003
7.36,1012
7.55,1066
7.65,1150
7.76,1035
7.86,1041
7.96,1037
8.15,959
8.26,1099
8.36,1176
8.46,1234
8.57,1064
8.76,1023
8.86,1007
8.96,1068
9.07,1351
9.17,1157
9.36,1027
9.46,1036
9.59,825
9.86,1055
10.04,1082
10.15,1026
10.25,1064
10.36,1068
10.46,952
10.65,1083
10.75,1032
10.86,1253
10.96,1090
11.06,1064
11.25,957
11.36,1049
11.46,1024
11.56,1044
11.67,1036
11.86,1036
11.96,1045
12.06,1075
12.17,1033
12.27,1029
12.46,1077
12.58,233
12.69,1013
12.88,1048
12.98,1029
13.08,1066
13.19,1020
13.29,1150
13.48,1075
13.58,1029
13.69,1109
13.79,1014
13.90,986
14.08,1011
14.19,1031
14.29,1040
14.40,1052
14.50,1028
14.69,1047
14.79,1025
14.90,1061
15.00,1009
15.10,1064
15.29,1064
15.40,1028
15.52,1036
15.71,1016
15.81,1030
15.92,1025
16.02,1044
16.12,1032
16.31,1044
16.42,1025
16.52,1024
16.62,1044
16.73,1040
16.92,854
17.02,1028
17.12,1020
17.23,1394
17.33,1028
17.52,1088
17.62,897
17.73,1073
17.83,1036
17.94,1104
18.12,947
18.23,1098
18.35,1045
18.54,1000
18.64,1045
18.75,989
18.85,1129
18.96,1038
19.14,1003
19.25,1088
19.35,1029
19.46,991
19.56,1021
19.75,1076
19.85,1040
19.96,1022
20.06,1027
20.16,1211
20.43,1062
20.62,991
20.72,1046
20.82,1012
20.93,1057
21.03,1038
21.22,1069
21.32,1023
21.45,1011
21.64,1030
21.74,1037
21.84,1094
21.95,1006
22.05,992
22.24,956
22.34,1019
22.45,1027
22.55,1000
22.66,1060
22.84,1270
22.95,948
23.05,1003
23.16,846
23.26,1106
23.45,1061
23.55,1026
23.66,1029
23.76,979
23.86,1016
24.05,1016
24.16,1117
24.26,997
24.38,933
24.49,1105
24.59,1077
24.70,1087
24.80,901
24.99,1052
25.09,938
25.20,1029
25.30,982
25.40,958
25.59,1020
25.70,1126
25.80,1068
25.90,1458
26.01,1179
26.20,1482
26.30,1075
26.40,636
26.51,2432
26.61,2199
26.80,515
26.90,493
27.01,780
27.11,2121
27.24,2141
27.34,2332
27.44,1852
27.55,769
27.74,1431
27.84,2127
27.94,1961
28.05,189
28.15,676
28.34,2380
28.44,2085
28.55,840
28.65,959
28.76,2258
28.94,1129
29.05,555
29.15,2112
29.26,1006
29.36,1475
29.55,2091
29.65,535
29.76,166
29.86,2393
29.96,906
30.17,1560
30.36,854
30.46,818
30.57,2366
30.67,2505
30.78,664
30.96,2094
31.07,2123
31.17,585
31.28,1059
31.38,2000
31.57,894
31.67,719
31.78,654
31.88,2157
31.98,515
32.25,973
32.44,761
32.54,1039
32.65,1155
32.75,1179
32.86,1273
33.04,1259
33.15,1564
33.27,1737
33.46,1193
33.56,2338
33.67,994
33.77,1672
33.88,921
34.06,942
34.17,1008
34.27,1043
34.38,1558
34.48,1788
34.67,414
34.77,885
34.88,1154
34.98,1215
35.08,1473
35.27,580
35.38,890
35.48,960
35.58,1637
35.69,1214
35.88,736
35.98,933
36.08,1190
36.21,1847
36.31,1242
36.42,1179
36.52,2096
36.62,2100
36.81,577
36.92,1431
37.02,1389
37.12,1125
37.23,868
37.42,1171
37.52,1244
37.62,1354
37.73,923
37.83,774
38.08,1544
38.26,657
38.37,813
38.47,909
38.58,1225
38.68,1114
38.87,1000
38.97,1387
39.08,1375
39.20,1080
39.30,976
39.41,1266
39.51,1216
39.62,1023
39.80,804
39.91,1018
40.01,1145
40.12,1300
40.22,1170
40.45,919
40.55,1001
40.66,1205
40.76,996
40.86,1270
41.05,949
41.16,1043
41.26,883
41.36,1378
41.47,1666
41.65,798
41.76,1001
41.86,1097
41.96,1057
42.09,1083
42.19,1311
42.30,959
42.40,961
42.59,1050
42.69,1182
42.80,972
42.90,1038
43.00,1057
43.19,1035
43.30,977
43.40,1097
43.50,1251
43.61,1133
43.80,824
43.90,948
44.00,1198
44.11,1343
44.21,944
44.40,934
44.50,1053
44.61,1077
44.71,1033
44.82,1382
45.02,833
45.21,765
45.32,1104
45.42,850
45.52,1422
45.63,1286
45.82,830
45.92,767
46.02,973
46.13,1648
46.23,1216
46.42,714
46.52,785
46.63,1032
46.73,1517
46.84,1470
47.02,867
47.13,712
47.23,1050
47.34,1070
47.44,833
47.70,980
47.89,1012
48.00,994
48.10,1149
48.33,935
48.43,1039
48.64,931
48.75,954
48.85,1001
48.96,1296
49.06,877
49.25,990
49.35,1024
49.46,908
49.56,1364
49.66,1443
49.85,1332
49.96,874
50.06,970
50.16,1087
50.27,1010
50.46,1011
50.56,1065
50.66,994
50.77,986
50.87,1033
51.08,978
51.18,1085
51.30,845
51.49,1059
51.60,965
51.70,1089
51.80,973
51.91,1088
52.10,866
52.20,1122
52.30,1133
52.41,989
52.51,1033
52.70,1032
52.80,985
52.91,1022
53.01,1074
53.12,1190
53.30,1350
53.41,668
53.51,1293
53.62,1305
53.72,951
53.91,816
54.01,1208
54.12,1271
54.24,1298
54.34,1148
54.45,937
54.55,1164
54.66,1139
54.84,1013
54.95,1064
55.05,1019
55.16,1470
55.26,1267
55.45,934
55.55,937
55.66,1041
55.76,1129
55.86,907
56.05,1044
56.16,1044
56.26,1164
56.36,1021
56.47,897
56.66,1236
56.76,932
56.86,941
56.97,978
57.09,946
57.20,1079
57.30,1136
57.40,1060
57.62,1143
57.72,950
57.82,1049
57.93,1140
58.03,971
58.22,1107
58.32,972
58.43,938
58.53,1038
58.64,963
58.82,1220
58.93,1051
59.03,1065
59.14,1220
59.24,1756
59.41,936
59.52,921
59.62,2424
59.72,1623
59.83,962
60.04,646
60.22,1311
60.33,871
60.43,1069
60.54,905
60.64,1411
60.83,1095
60.93,1250
61.04,1028
61.14,1103
61.24,1164
61.43,1016
61.54,1126
61.64,977
61.74,1335
61.85,1179
62.03,1210
62.13,1140
62.24,1039
62.34,1181
62.44,1042
62.63,1019
62.74,1041
62.84,1020
62.96,1057
63.07,1056
63.17,986
63.28,1107
63.38,1085
63.57,1045
63.67,1026
63.78,1080
63.88,1071
63.98,1293
64.17,899
64.28,997
64.38,828
64.48,1023
64.59,1109
64.78,1086
64.88,1164
64.98,1236
65.09,1268
65.19,1534
65.42,875
65.53,998
65.63,1002
65.74,1578
65.94,1034
66.04,460
66.23,845
66.34,1089
66.44,1057
66.54,1293
66.65,1316
66.84,991
66.94,997
67.04,905
67.15,1031
67.25,992
67.44,1185
67.54,878
67.65,1107
67.75,1080
67.86,1144
68.04,1050
68.15,1140
68.25,789
68.36,902
68.46,874
68.65,1050
68.75,1121
68.88,1144
69.06,916
69.17,705
69.27,1391
69.38,1019
69.48,993
69.67,1078
69.77,977
69.88,1036
69.98,965
70.08,1033
70.24,986
70.35,847
70.45,1217
70.56,912
70.66,1004
